instance_id,mode,harness_status,harness_report,elapsed_sec,tokens_used,files_touched,patch_add,patch_del,patch_bytes,patch_file,log_file,spec_file
sympy__sympy-11618,A,resolved,codex_A.A_codex_9.json,75.374648154,21935,2,5,2,1326,ab_spec_study/runs/A/sympy__sympy-11618/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-11618/output/agent_log.txt,
sympy__sympy-12096,A,resolved,codex_A.A_codex_9.json,89.625809335,16763,2,10,2,1860,ab_spec_study/runs/A/sympy__sympy-12096/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-12096/output/agent_log.txt,
sympy__sympy-12419,A,resolved,codex_A.A_codex_9.json,104.678519122,17728,2,11,4,1232,ab_spec_study/runs/A/sympy__sympy-12419/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-12419/output/agent_log.txt,
sympy__sympy-12481,A,resolved,codex_A.A_codex_9.json,117.886593266,24069,2,4,7,1650,ab_spec_study/runs/A/sympy__sympy-12481/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-12481/output/agent_log.txt,
sympy__sympy-12489,A,unresolved,codex_A.A_codex_9.json,811.626205938,72054,1,40,38,9248,ab_spec_study/runs/A/sympy__sympy-12489/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-12489/output/agent_log.txt,
sympy__sympy-13031,A,unresolved,codex_A.A_codex_9.json,368.683166648,66560,2,15,0,1472,ab_spec_study/runs/A/sympy__sympy-13031/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-13031/output/agent_log.txt,
sympy__sympy-13091,A,unresolved,codex_A.A_codex_9.json,95.248527414,15293,2,17,2,1458,ab_spec_study/runs/A/sympy__sympy-13091/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-13091/output/agent_log.txt,
sympy__sympy-13372,A,resolved,codex_A.A_codex_9.json,28.291091783,4319,1,4,0,772,ab_spec_study/runs/A/sympy__sympy-13372/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-13372/output/agent_log.txt,
sympy__sympy-13480,A,resolved,codex_A.A_codex_9.json,12.612202685,,1,1,1,592,ab_spec_study/runs/A/sympy__sympy-13480/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-13480/output/agent_log.txt,
sympy__sympy-20590,A,unknown,codex_A.A_codex_9.json,,28155,2,2,0,868,ab_spec_study/runs/A/sympy__sympy-20590/output/patch.diff,ab_spec_study/runs/A/sympy__sympy-20590/output/agent_log.txt,
sympy__sympy-11618,B,resolved,codex_B.B_codex_9.json,219,18006,2,17,1,1605,ab_spec_study/runs/B/sympy__sympy-11618/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-11618/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-11618/output/spec.md
sympy__sympy-12096,B,resolved,codex_B.B_codex_9.json,72,4949,2,15,1,1497,ab_spec_study/runs/B/sympy__sympy-12096/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12096/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12096/output/spec.md
sympy__sympy-12419,B,resolved,codex_B.B_codex_9.json,139,19097,2,13,6,1946,ab_spec_study/runs/B/sympy__sympy-12419/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12419/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12419/output/spec.md
sympy__sympy-12481,B,resolved,codex_B.B_codex_9.json,430,47662,2,20,19,3209,ab_spec_study/runs/B/sympy__sympy-12481/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12481/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12481/output/spec.md
sympy__sympy-12489,B,resolved,codex_B.B_codex_9.json,260,15129,2,51,31,8524,ab_spec_study/runs/B/sympy__sympy-12489/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12489/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12489/output/spec.md
sympy__sympy-13031,B,resolved,codex_B.B_codex_9.json,231,25791,2,13,0,1428,ab_spec_study/runs/B/sympy__sympy-13031/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13031/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13031/output/spec.md
sympy__sympy-13091,B,unresolved,codex_B.B_codex_9.json,99,11059,2,20,3,1618,ab_spec_study/runs/B/sympy__sympy-13091/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13091/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13091/output/spec.md
sympy__sympy-13372,B,resolved,codex_B.B_codex_9.json,124,16011,2,7,0,1266,ab_spec_study/runs/B/sympy__sympy-13372/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13372/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13372/output/spec.md
sympy__sympy-13480,B,resolved,codex_B.B_codex_9.json,82,9333,2,2,1,1081,ab_spec_study/runs/B/sympy__sympy-13480/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13480/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13480/output/spec.md
sympy__sympy-20590,B,unknown,codex_B.B_codex_9.json,,1597,2,5,0,868,ab_spec_study/runs/B/sympy__sympy-20590/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-20590/output/agent_log.txt,ab_spec_study/runs/B/sympy__sympy-20590/output/spec.md
